Timestamp,Email Address,Which Course do you want to Learn ?,Name,Mobile No (Student),Address,Education,"Presently What Are you Doing ? (Student, Business, Job, Housewife, etc...)","From Where Do You Know About Us ? (Google, Social Media, Friends, Old students, etc...)",Preferred Batch Time,Mobile No (Parent / guardian 1),Preferred Branch ,Preferred Days,Your Photograph,Faculty,Email Address,Mobile No (Parent / guardian 2),Any Other Notes,Counsellor Name ,,Mode of Enquiry,Date of Enquiry,Date of Birth,Receipt ID,Process Status
09/11/2025 18:59:17,,"Core Java Programming, Diploma in Front End Development",Priya Ranadive,8882238616,"C-592, Dummy Darshan, Parle point",B.C.A,Freelance,Social Media ,,9991188583,Citylight,,,,,88822349778,,Vansh sir,,On Branch,09/11/2025,,,
10/11/2025 10:26:10,,"Video Editing, Basic Computer Accounting",ENQ - 8464,9990091911,,,,,,,Citylight,,,,,,,Vansh Sir,,On Call,10/11/2025,,,
11/11/2025 15:24:36,,Computer Basics & Scratch Programming (M-2 & M-3),Mihir Nadkarni,8882214637,"E-832, Faux Fortune, Rander",Diploma,Business,Walkin,,,Pal,,,,mihirnadkarni8624@example com,,,Trusha,,,,,,
21/11/2025 14:09:45,,Digital Marketing (M-2 & M-3),Shaurya Kelkar,8882264798,"G-830, Mocklight Apartments, Pal",,NA,Banner,,08882228624,Vesu,,,,,,,Trusha,,On Call,21/11/2025,,,
17/11/2025 16:50:07,,Python OOP,isha khaparde,6660081069,"F-817, Specimen Skyline, Citylight",10th completed,Housewife,Walk in,,7770068415,Vesu,,,,ishakhaparde8885@example.com,8882286422,,Trusha mam,,,,,,
22/11/2025 9:20:48,,Python Programming,Subin,7770047704,,Bcom,Other ,Family,,9991139116,Vesu,,,,vanshganvir981@example com,9991171066,,Siddharth sir,,On Branch,22/11/2025,,,
24/11/2025 16:46:11,,Web Designing,Vansh Mhatre,9991154120,"C-661, Sandbox Sadan, Umra",Post Graduation,Student ,Walk in,,666007145,Citylight,,,,vanshmhatre4396@example.com,8882269881,,subin sir,,On Branch,24/11/2025,,,
26/11/2025 11:59:52,,Diploma in Web Development,Vihaan Sahasrabuddhe  (Register for trial 4 & 6 may),8882256692,"G-141, Testvan Residency, Palanpur",BBA,Job,Family,,,Citylight,,,,vihaansahasrabuddhe9254@example.con,9990013537,,Siddharth sir,,On Bot,26/11/2025,,,
29/11/2025 16:48:39,,Digital Marketing & SEO (module 2 & 3),ENQ-8465,9991186184,,,,,,,Vesu,,,,,,,Siddharth sir,,On Branch,29/11/2025,,,
30/11/2025 15:25:55,,Computer Accounting module 2,Jainam Joglekar,9990071793,"A-771, Synthetic Square, Pal",NA,student,Old Enquiry,,9990080575,Citylight,,,,,66600768252,,Yash k,,,,,,
05/12/2025 20:23:06,,Advanced Excel (M-1 & M-2) (m-1),Urvi Mahabal,6660081904,"F-1172, Specimen Skyline, Katargam",10th completed,,Friends,,88800855487,Vesu,,,,urvimahabal4862@example.com,,,Vansh Sir,,On Bot,05/12/0025,,,
07/12/2025 12:56:12,,"11th IP, Computer Basics & Scratch Programming",ENQ-8466,88800186069,,,,,,,Pal,,,,,,,Yash Kanodia Sir,,On Call,07/12/2025,,,
08/12/2025 17:56:23,,Advanced Certificate in Python Development & Generative AI (Module 2),Riddhi Rege,9990067249---7770097967,"B-957, Faux Fortune, Rander",Na,NA,,,,Pal,,,,,,,Siddharth sir,,On Branch,08/12/2025,,,
12/12/2025 20:49:44,,"Scratch Programming, Advanced Computer Accounting",SANYA RANADIVE,9990012540,,Post Graduation,student,Social Media ,,,Citylight,,,,,,,subin sir,,On Bot,12/12/2025,,,
14/12/2025 16:39:31,,"C & C++, Python Programming",Krupa Ganvir,8882281388,"A-189, Fixture Villa, Bhatar",Diploma,Business / Job,Old Enquiry,,6660049950,Vesu,,,,krupaganvir1682@example.com,6660001033,,SUBIN SIR,,,,,,
14/12/2025 14:03:34,,Computer Basics ,Vedant Tembe,77-70091034,"D-1156, Notional Nivas, Pandesara",12th,Housewife ,Family,,,Citylight,,,,,,,Siddharth Sir,,On Call,14/12/2025,,,
21/12/2025 9:39:04,,"Digital Marketing (Module 2), UI & UX development",Enq 8467,6660017906,,,,,,,Vesu,,,,,,,Siddharth sir,,On Bot,21/12/2025,,,
24/12/2025 16:51:24,,"Basic Computer Accounting, Diploma in Front End Development",Jainam Bhide,6660047369,"G-846, Example Estate, Pal",Post Graduation,Teacher,Banner,,,,,,,jainambhide3680@example.com,9990049094,,Vansh sir,,On Bot,24/12/2025,,,
25/12/2025 16:41:54,,Advanced Computer Accounting,Priya Hardikar,9991112168,"G-315, Fixture Villa, Katargam",Graduation ,Teacher,Hoarding ,,,Citylight,,,,priyahardikar3160@example.com,,,Vansh Sir,,On Branch,25/12/2025,,,
29/12/2025 19:03:30,,Python Programming,Raghav Nadkarni,8880027969,"G-1045, Example Estate, Citylight",12th completed ,Teacher,google,,666003424,Pal,,,,raghavnadkarni5272@example.com,6660043458,,Yash k,,On Branch,29/12/2025,,,
30/12/2025 14:44:10,,Python OOP,Avni Paranjape,9990072622,"D-1101, Synthetic Square, New citylight",9th std,Other ,Old students,,8880079382,Vesu,,,,,6660059998,,Mansi Mam,,On Call,30/12/2025,,,
31/12/2025 16:45:06,,Core Python Programming,Zeel Vartak,8882289641,"G-1044, Synthetic Square, Citylight",B.C.A,Student ,Social Media ,,9991174716,Vesu,,,,zeelvartak7920@example.com,,,Yash sir,,On Bot,31/12/2025,,,
04/01/2026 17:16:05,,Combo Course (Computer Basics & Advanced Excel with Power BI),VEDANT WAGLE,9990014805,"B-763, Sample Heights, Umra",MBA,Other ,Friends,,7770069386,,,,,vedantwagle8169@example.com,,,Yash k,,On Call,04/01/2026,,,
11/01/2026 13:49:57,,Basic Graphic Designing (module 2 & 3),Khushi Joglekar,99-91181740,"G-487, Sample Heights, Althan",Na,Housewife,Reference ,,9991160519,Vesu,,,,,,,Mansi mam,,,,,,
12/01/2026 17:31:05,,"10th std school course, Combo Course (Computer Basics & Advanced Excel with Power BI)",Anish Bhide,8880010942,"B-958, Stub Sankul, Adajan",9th std,student,Walkin,,6660067103,Citylight,,,,anishbhide7942@example.com,9991198910,,Yash sir,,On Call,12/01/2026,,,
17/01/2026 16:58:07,,Combo Course (Computer Basics & Advanced Excel with Power BI),Enq 8468,9990029379,,,,,,,Citylight,,,,,,,Trusha Mam,,,,,,
19/01/2026 13:21:58,,Social Media Marketing (DM-2) ,Ananya Chandorkar,7770096943,"F-468, Proxy Paradise, New citylight",Diploma,NA,Reference ,,8880079522,Pal,,,,,,,Trusha mam,,,,,,
31/01/2026 20:30:51,,Digital Marketing,Priya Kelkar,6660097814,"D-619, Proxy Paradise, Rander",12th,Student ,Relatives ,,09990050028,Vesu,,,,priyakelkar545@example.com,,,Mansi mam,,On Bot,31/01/2026,,,
20/01/2026 11:39:26,,"Basic Graphic Designing, Advance Excel",Niyati Mahabal,9991163268,"D-687, Proxy Paradise, Parle point",9,Other ,old student,,,Pal,,,,niyatimahabal704@example.com,,,Yash sir,,On Call,20/01/2026,,,
07/02/2026 17:55:29,,Diploma in Front End Development,Riddhi Chandorkar,9990096049,"G-911, Sample Heights, Adajan",BBA,Teacher,Indiamart,,,pal,,,,riddhichandorkar6067@example com,7770012626,,SUBIN SIR,,On Call,07/02/2026,,,
09/02/2026 18:51:06,,Computer Basics & Scratch Programming,Samarth Gokhale,8880026097,"B-1182, Proxy Paradise, Magdalla",Na,Housewife ,Social media,,9991169660,Citylight,,,,,,,Vansh Sir,,On Branch,09/02/2026,,,
16/02/2026 14:17:27,,Digital Marketing,niyati barhate ,9990062501,,12th completed ,Housewife ,Walkin,,8880047416,Pal,,,,niyatibarhate2276@example.com,9990058813,,Trusha,,,,,,
16/02/2026 20:30:15,,Digital Marketing,Naisha Kelkar,+155501085,"G-1072, Testvan Residency, Umra",10th completed,Freelance,Old Enquiry,,,Pal,,,,naishakelkar6178@example.com,,,Yash sir,,On Branch,16/02/2026,,,
19/02/2026 16:52:40,,"C & C++ (Online), Full Stack Development",Sanya Bhide,7770006238,"G-186, Mocklight Apartments, Adajan",9th std,Student ,Walk in,,,Citylight,,,,"sanyabhide6213@example ,com",,,Yash Sir,,On Bot,19/02/2026,,,
19/02/2026 14:22:58,,COMPUTER BASICS,Rudra Ahluwalia,8880085013,"C-1151, Testvan Residency, Palanpur",12th completed ,Business,Internet ,,,Pal,,,,rudraahluwalia8990@example.com,,,Siddharth sir,,On Call,19/02/2026,,,
23/02/2026 12:25:35,,Video Editing,charvi dandekar,+8199911251913,,Na,Business / Job,Walkin,,9990000404,,,,,,6660089890,,Trusha,,On Bot,23/02/0026,,,
25/02/2026 16:47:09,,"Core Java Programming, 12th Computer Science",Enq 8469,9991193043,,,,,,,Pal,,,,,,,Trusha Mam,,On Branch,25/02/2026,,,
27/02/2026 15:14:30,,FULL STACK DEVELOPMENT,Jiya Dhond,9991154464,"G-591, Sample Heights, Umra",Diploma,Business,Old students,,8880045977,Pal,,,,jiyadhond9116@example.com,,,Yash Sir,,On Branch,27/02/2026,,,
27/02/2026 12:26:09,,Video Editing,ENQ-8470,9990076248,,,,,,,Vesu,,,,,,,Mansi mam,,On Branch,27/02/2026,,,
03/03/2026 9:09:51,,Advanced Excel (M-1 & M-2),Tanish Joglekar,9991123712,"B-492, Example Estate, Adajan",11th ,Student ,Friend ,,888004390,Pal,,,,tanishjoglekar3356@example.com,,,Siddharth sir,,On Bot,03/03/2026,,,
03/03/2026 17:20:36,,Core Java Programming,Parth Lele ,8880034618,"C-208, Synthetic Square, Umra",Bcom,Student,Hoarding ,,9990093488,Vesu,,,,parthlele4487@example.com,,,SUBIN SIR,,,,,,
05/03/2026 15:16:41,,Digital Marketing & SEO,Namra Yardi,6660023134,"D-907, Specimen Skyline, Umra",Post Graduation,,Google,,9991119595,Pal,,,,,"6660007242, 9991184230",,Siddharth Sir,,On Branch,05/03/2026,,,
05/03/2026 9:08:32,,,ENQ-8471,8882227279,,,,,,,Vesu,,,,,,,SUBIN SIR,,,,,,
15/03/2026 11:14:53,,"Business Analytics, Professional Python Developer",Enq 8472,+918880084127,,,,,,,vesu,,,,,,,Mansi Mam,,On Bot,15/03/2026,,,
18/03/2026 10:02:07,,12th computer science,CHARVI CHANDORKAR,777008374,"D-353, Demo Enclave, Pal",In School,NA,Others,,8880008648,Citylight,,,,,,,Trusha mam,,On Bot,18/03/2026,,,
25/03/2026 20:50:20,,Digital Marketing & SEO,Bhavya Deolekar ,8880084912,,8th Grade,Housewife,Friends,,7770068046,Pal,,,,,,,Subin Sir,,On Branch,25/03/2026,,,
