Timestamp,Name for Google Contacts,Which Course do you want to Learn ?,Student Name,Mobile No (Student),Mobile No (Father / Guardian),Student Address,Education Level,From Where Do You Know About Us ?,Presently What Are you Doing ?,Preferred Branch ,Preferred Days,Preferred Batch Time,Faculty,Receipt ID,Email Address,Date of Birth,Date of Admission,Mobile No (Mother / Guardian),Any Other Notes,Education Details,Student Photo,Admission Form Photo,Residential Area,Pincode,Coupons Given?
18/11/2024 12:29:48,Mihir Nadkarni-NA-Combo Course (Computer Basics & Advanced Excel with Power BI) (M-2 & M-3),Combo Course (Computer Basics & Advanced Excel with Power BI) (M-2 & M-3),Mihir Nadkarni,8882214637,,"E-832, Faux Fortune, Rander",9,old student,Other ,NA,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,Vansh Sir,233,mihirnadkarni8624@example com,26/08/2000,16/11/2024,,,,https://drive.google.com/file/d/1bCaSRHsb00BNLQSs_TtrqHJ32HKsFRoj/view?usp=drive_link,,Citylight,395009,
17/11/2024 17:33:00,Krish Gokhale-citylight-Python Programming,Python Programming,Krish Gokhale,88822382117,9991136878,"G-401, Demo Enclave, Vesu",10,Indiamart,Teacher,citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",12:00 To 01:00,Trusha,0412,krishgokhale2532@example.com,07/06/1992,,,,,,https://drive.google.com/file/d/1xYgWNnHFcogB44WmS7hpN7YDsVmjCcV1/view?usp=drivesdk,Parle point,395009,
19/11/2024 12:34:56,Avni Paranjape-Pal-WEB DESIGNING,WEB DESIGNING,Avni Paranjape,9990072622,8880079382,"D-1101, Synthetic Square, New citylight",B.C.A,Reference ,NA,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",05:00 To 06:00,Yash k,413,,,18/11/2024,+916660059998,,,,https://drive.google.com/open?id=16dIn5IyLbab5dU_GgloNLbve8829x-lq,Katargam,305007,
26/11/2024 19:05:24,Naisha Kelkar-Vesu-11th IP ,11th IP ,Naisha Kelkar,7770034959,,"C-633, Notional Nivas, Citylight",9th std,Friend ,Student ,Vesu,All Days,04:00 To 05:00,Siddharth sir,234,,17/11/1975,25/11/2024,,,,https://drive.google.com/file/d/1_5bLzwZswdtx8zMoeX_Sc3sjwZewUxta/view?usp=drivesdk,https://drive.google.com/file/d/15_E-oSSGzjiySGoNG61V7rULWCzyHs4B/view?usp=drivesdk,Pal,0194520,
30/11/2024 19:58:58,Niyati Marathe-Vesu-Data Analysis,Data Analysis,Niyati Marathe,9990050279,99900806376,"B-1067, Proxy Paradise, Katargam",12,Social Media ,Other ,Vesu,"Monday, Wednesday, Friday",05:00 To 06:00,Mansi mam,235,,08/01/1981,28/11/2024,,,,https://drive.google.com/file/d/1Z5zch3Z84te-PNkwDCWjkwpJ8LFuVp_b/view?usp=drive_link,,Jahangirpura,395017,
30/11/2024 18:13:23,Charvi Kirloskar-Citylight-Advanced Graphic Designing (6 mths),Advanced Graphic Designing (6 mths),Charvi Kirloskar,8882272895,,"B-837, Sandbox Sadan, Citylight",,Old Enquiry,Business,Citylight,"Monday, Wednesday, Friday",11:00 To 12:00,Siddharth sir,183,,,29/11/2024,,,,,,Palanpur,0194520,
30/11/2024 20:38:09,Hetvi Gokhale-Citylight-Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course (Computer Basics & Advanced Excel with Power BI),Hetvi Gokhale,8882227279,9991120178,"C-938, Synthetic Square, Althan",12th completed ,NA,Housewife,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",03:00 To 04:00,Mansi mam,187,hetvigokhale2273@example.com,09/03/2016,30/11/2024,8880068531,,,https://drive.google.com/file/d/1cnAHzeuepp2_wZ2SP9UQH1g-ZpnJVYjK/view?usp=drivesdk,https://drive.google.com/open?id=1j3fVtmB88qQpW-A95g7_xrlg-DkykZN1,Jahangirpura,39500,
02/12/2024 13:43:17,Vansh-Citylight-C & C++ (Online),C & C++ (Online),vansh,6660023993,8880074997,"E-683, Proxy Paradise, Udhna",Graduate,Social media,Freelance,Citylight,"Tuesday, Thursday, Saturday",11:00 To 12:00,vansh sir,188,,07/01/1989,02/12/2024,,,,,https://drive.google.com/file/d/1Zr7aHpzExuBvA9B-oxT4CEAnaIzz08Rf/view?usp=drive_link,Piplod,395001,
04/12/2024 20:31:56,Priya Ranadive-Citylight-Data Analysis,Data Analysis,Priya Ranadive ,88822386169,9991188583,"C-592, Dummy Darshan, Parle point",BBA,Walkin,Student,Citylight,All Days,01:00 To 02:00,Siddharth Sir,189,,19/06/1987,04/12/2024,8882234977,,,,https://drive.google.com/open?id=1_wXEI0iD_y9sbF3jKbbq-FEi6ui4UcCz,Piplod,395017,
06/12/2024 19:56:56,Krupa Chaphekar-pal-Adobe Photoshop,Adobe Photoshop,Krupa Chaphekar,7770088166,9991154645,"A-817, Fixture Villa, Piplod",Bcom,,Job,pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",01:00 To 02:00,Mansi mam,414,krupachaphekar2855@example.com,09/10/1998,06/12/0024,,,,https://drive.google.com/open?id=1jqcPPKWCv0k8qwvk4zaImNLsuBgfAQl5,https://drive.google.com/file/d/1BEYPVKFtrR00VjMGDQZ0m0xLMINtnjK-/view?usp=drive_link,Udhna,395006,
07/12/2024 10:12:15,Kavya Inamdar-citylight-CORE JAVA PROGRAMMING,CORE JAVA PROGRAMMING,Kavya Inamdar,+155501012,+919991164842,"F-988, Specimen Skyline, Bhatar",Diploma,Reference ,Job,citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",06:00 To 07:00,Vansh Sir,193,,11/12/1994,07/12/2024,,,,https://drive.google.com/open?id=1GW0828d1zOz7w-00oTOfZtBE5bXvA59j,,Adajan,395001,
10/12/2024 13:28:00,Rudra Nene-Pal-Advanced Certificate in Data Analytics & Data Science,Advanced Certificate in Data Analytics & Data Science,Rudra Nene,9991159261,9991110624,"F-182, Synthetic Square, Pandesara",MBA,Google,Housewife,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",12:00 To 01:00,Trusha,415,rudranene7224@example.com,15/09/2015,10/12/2024,,,,,https://drive.google.com/open?id=1bHC7RPGS8a9zcBhN3fhKHvViwx7C6uw2,Pandesara,395017,
23/12/2024 12:27:49,Priya Ranadive-Vesu-Business Analytics (Module 2),Business Analytics (Module 2),Priya Ranadive,8882238616,9991188583,"C-592, Dummy Darshan, Parle point",12th,Relatives ,Business / Job,Vesu,"Tuesday, Thursday, Saturday",11:00 To 12:00,Yash Sir,240,,19/06/1987,21/12/2024,8882234977,,,https://drive.google.com/file/d/1x9rRRBxOcI6IrIYS1bXaG0kHbQDBE9hq/view?usp=drive_link,,Piplod,395017,
25/12/2024 18:02:06,Anish Deolekar-Citylight-Advanced Excel (M-1 & M-2),Advanced Excel (M-1 & M-2),Anish Deolekar,8880084127,,"A-1078, Example Estate, Citylight",10th completed,Social Media ,NA,Citylight,"Monday, Wednesday, Friday",07:00 To 08:00,Vansh sir,196,anishdeolekar3404@example.com,,23/12/2024,,,,https://drive.google.com/file/d/12paMLcLqedEfcMuAgnE5kHMR4qPkx0i3/view?usp=drivesdk,https://drive.google.com/file/d/1ty2gRbV-O6Et_1Y_Nn3Bwyeckr0N00e-/view?usp=drivesdk,Palanpur,395001,
25/12/2024 16:33:38,Jiya Kelkar-Vesu-Advanced Excel (M-1 & M-2),Advanced Excel (M-1 & M-2),Jiya Kelkar (Admission Cancelled),8880051744,,"C-1040, Placeholder Palace, Vesu",11,Google,Student,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",11:00 To 12:00,Yash k,242,,06/11/2004,25/12/2024,,,,,https://drive.google.com/open?id=1dq2iqwjlxZmxgNacbTg-rzwnc3sTp5r0,Magdalla,395005,
27/12/2024 14:31:30,Shaurya Chitnis-Pal-10th std school course,10th std school course,Shaurya Chitnis ,9990076486,8880080213---6660017896,"F-201, Sample Heights, Vesu",11,Friends,,Pal,All Days,04:00 To 05:00,Mansi Mam,420,,03/08/2016,26/12/2024,8882266526,,,,https://drive.google.com/open?id=15cOh0Ec_eB-JMo5epdMG2KikE4N1fxLx,Rander,395009,
10/01/2025 9:27:04,Vedant Wagle-Citylight-10TH STD SCHOOL COURSE,10TH STD SCHOOL COURSE,Vedant Wagle ,9990014805,7770069386,"B-763, Sample Heights, Umra",12th completed ,,student,Citylight,"Tuesday, Thursday, Saturday",07:00 To 08:00,Siddharth Sir,197,vedantwagle8169@example.com,,08/01/2025,,,,https://drive.google.com/file/d/1pDq2ZPsPgr_f3iPpMtgidR-6Mur91ICf/view?usp=drive_link,https://drive.google.com/open?id=1O-frzCf-eX9VBg-ItKAVTWbYXPHeSaM8,Parle point,305007,
10/01/2025 11:18:21,Rachit Wadekar-Citylight-Social Media Marketing (DM-2),Social Media Marketing (DM-2),Rachit Wadekar,8880018276,,"G-489, Dummy Darshan, Pandesara",,Hoarding ,Housewife ,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",07:00 To 08:00,Yash sir,198,rachitwadekar6463@example.com,05/05/1996,10/01/2025,,,,,https://drive.google.com/open?id=1R6py1I2wpetLY_299BWmTWmJiOvVwmny,Ghodhod road,305007,
12/01/2025 10:37:05,Krish Nene-NA-Advanced Computer Accounting,Advanced Computer Accounting,Nene Krish,8880062428,6660002018,"F-433, Fixture Villa, Katargam",Na,Social media,Housewife,NA,"Monday, Wednesday, Friday",12:00 To 01:00,Yash Sir,243,,,12/01/2025,,,,,https://drive.google.com/file/d/1Oh4PKx6vVJc1mJR36UDKoCYRHYkkKltU/view?usp=drivesdk,Jahangirpura,0194520,
19/01/2025 20:21:13,Aarav Ranadive-Vesu-Basic Computer Accounting,Basic Computer Accounting,Aarav Ranadive,9990091911,,,10th completed,Old students,Business / Job,Vesu,All Days,03:00 To 04:00,Trusha,245,aaravranadive8591@example.com,,19/01/2025,8880053771,,,https://drive.google.com/file/d/1uJDiKoDp6mstfc8Jp0sD9uMD2ar3mTju/view?usp=drive_link,,Althan,395005,
20/01/2025 15:38:42,Charvi Chandorkar-pal-Basic Computer Accounting,Basic Computer Accounting,Charvi Chandorkar,7770083744,8880008648,"D-353, Demo Enclave, Pal",Post Graduation,Walkin,Student,pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",12:00 To 01:00,Mansi Mam,247,,,19/01/2025,,,,,https://drive.google.com/file/d/165GI9vRIFqs7NV69KBRAzdb5af67xTFF/view?usp=drive_link,Ghodhod road,395001,
20/01/2025 15:58:14,Janvi Lele-Vesu-Advanced Computer Accounting,Advanced Computer Accounting,Janvi Lele ,7770081413,,,,google,student,Vesu,"Tuesday, Thursday, Saturday",10:00 To 11:00,Vansh Sir,248,janvilele4122@example.com,08/09/1980,20/01/2025,9990032000,,,https://drive.google.com/open?id=1ur3_tidapmGenAj-pf4X5V_PSHU9JI3P,https://drive.google.com/file/d/1roIesTwPnWBzzK8xrzo-sNyhbHpJMThD/view?usp=drive_link,Bhatar,394210,
22/01/2025 13:07:58,Sachi Jamdar-Vesu-Combo Course (Computer Basics & Advanced Excel with Power BI) ,Combo Course (Computer Basics & Advanced Excel with Power BI) ,Jamdar Sachi,8882290782,8880011146,,11th ,Family,Student ,Vesu,All Days,02:00 To 03:00,Mansi mam,250,,12/08/1976,21/01/2025,,,,https://drive.google.com/file/d/1_kmjJDoCb0yD__sxxs0nNb2leCtiVtUY/view?usp=drivesdk,,Umra,,
26/01/2025 15:59:40,Raghav Nadkarni-Vesu-Python Programming,Python Programming,Raghav Nadkarni ,8880027969,6660034248,"G-1045, Example Estate, Citylight",Graduate,Friend ,Housewife ,Vesu,"Monday, Wednesday, Friday",03:00 To 04:00,Yash k,251,raghavnadkarni5272@example.com,07/05/2002,25/01/2025,6660043458,,,https://drive.google.com/open?id=1IkIxHsKLnt0HUA3UEzh6uvSYCl3i3-f6,,,394210,
25/01/2025 20:15:31,Pranav Karnik-Citylight-C Programming,C Programming,Pranav Karnik,7770065086,6660090697,"G-1152, Placeholder Palace, Varachha",Bcom,Google,Student,Citylight,All Days,04:00 To 05:00,vansh sir,201,"pranavkarnik3526@example ,com",11/09/1996,25/01/2025,9991105587,,,,,Pal,,
30/01/2025 16:00:07,Devansh Bapat-Pal-Canva,Canva,Devansh Bapat,7770080872,,"C-529, Proxy Paradise, Jahangirpura",Graduation ,google,Teacher,Pal,"Tuesday, Thursday, Saturday",07:00 To 08:00,Subin sir,421,,13/12/1997,28/01/2025,"8880012447, 6660092032",DOB: 11/11/2015,,,https://drive.google.com/file/d/1RQ8GRMqvvmkIUHYv65ZHhyt6W874GrVn/view?usp=drivesdk,Rander,395005,
02/02/2025 12:01:12,Mihir Nadkarni-Citylight-Python Programming,Python Programming,Mihir Nadkarni (admission Cenceled) ,8882214637,,"E-832, Faux Fortune, Rander",NA,google,Housewife,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",04:00 To 05:00,Subin sir,203,mihirnadkarni8624@example com,,02/02/2025,,,BBA,https://drive.google.com/open?id=1W8XjZIua74AN823dvE8QpebQAUGcS2uu,https://drive.google.com/file/d/1_OwRBz5w7MV1l3QS-Jtjf61s0VfoqnhW/view?usp=drive_link,Citylight,395009,
07/02/2025 9:23:32,Bhavya Deolekar-Vesu-Core Java Programming,Core Java Programming,Deolekar Bhavya ,8880084912,7770068046,,10th completed,Friends,Business / Job,Vesu,"Monday, Wednesday, Friday",06:00 To 07:00,Yash sir,252,,23/07/1979,05/02/2025,,,8th std,,,Jahangirpura,39500,
07/02/2025 18:44:54,Tanvi Karnik-Citylight-Core Python Programming,Core Python Programming,tanvi karnik,+155501008,8880099735,"F-1046, Fixture Villa, Magdalla",12,Walkin,Housewife,Citylight,All Days,04:00 To 05:00,subin sir,204,,09/03/2001,07/02/2025,,,8th std,https://drive.google.com/file/d/1ZlPKTg99DSjIfimO04W8r1gxbiGysrmF/view?usp=drivesdk,https://drive.google.com/file/d/1SwkkYdvw37OjTs87w6dT8W9SCknG83Wx/view?usp=drivesdk,Umra,395007,
11/02/2025 17:17:20,Dhruv Sathaye-Pal-Python Programmig,Python Programmig,Dhruv Sathaye (admission cancelled all refunded),6660028515,8882211370,,10th completed,Friends,Business / Job,Pal,"Tuesday, Thursday, Saturday",04:00 To 05:00,Vansh sir,422,,,11/02/2025,,,Graduation ,https://drive.google.com/file/d/1jjC20ZuRCcT5waQS7mFyaOkMvzWmC_5E/view?usp=drivesdk,https://drive.google.com/file/d/11AmQyrW76R2x0oN5zpK70nVNFR6R2bmh/view?usp=drive_link,Pal,,
13/02/2025 12:06:36,Anish Bhide-Vesu-Video Editing,Video Editing,anish bhide,8880010942,6660067103,"B-958, Stub Sankul, Adajan",BBA,Old student ,Business,Vesu,"Tuesday, Thursday, Saturday",01:00 To 02:00,Mansi Mam,253,anishbhide7942@example.com,,11/02/2025,9991198910,,8th std,https://drive.google.com/file/d/1zCjN5w8Js-Fk0W_lbhG4BK4crnjn0vA-/view?usp=drivesdk,,Bhatar,39500,
18/02/2025 14:57:23,Vedant Karnik-Vesu-Basic Computer Accounting,Basic Computer Accounting,Vedant Karnik,6660039587,,"F-609, Testvan Residency, Ghodhod road",9th std,Friend ,Other ,Vesu,"Tuesday, Thursday, Saturday",06:00 To 07:00,vansh sir,254,vedantkarnik9882@example.com,08/02/2003,16/02/2025,6660020582,,Bcom,https://drive.google.com/file/d/1exswMg4sfSr95HT_b9sp5Cpe2fu9gP5K/view?usp=drive_link,,Citylight,395001,
20/02/2025 11:09:40,Krish Gokhale-Pal-Basic Computer Accounting module 2,Basic Computer Accounting module 2,Krish Gokhale ,8882238211,9991136878,"G-401, Demo Enclave, Vesu",BBA,Hoarding ,Job,Pal,"Tuesday, Thursday, Saturday",02:00 To 03:00,Subin Sir,423,krishgokhale2532@example.com,07/06/1992,18/02/2025,,,12th commerce,https://drive.google.com/file/d/12_5wZA3kQb_RIuRWyN6bePQuBLMAcc6p/view?usp=drive_link,https://drive.google.com/file/d/1zg4WCFnNS7tZABGZxSW9QN8Vt6uHnqck/view?usp=drivesdk,Parle point,395009,
26/02/2025 20:46:51,Shaurya Kelkar-Vesu-Canva (M-1),Canva (M-1),Shaurya Kelkar,888226479,8882228624,"G-830, Mocklight Apartments, Pal",Bcom,old student,Job,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,Mansi mam,256,,17/11/1996,25/02/2025,,,12th commerce,https://drive.google.com/file/d/1J4R0hpXcAVuFvRmrR6J-I3HmyxkAX1ZQ/view?usp=drivesdk,https://drive.google.com/file/d/1EMb39xVbvGAxPclvmsyGdqb3yQCvQAEB/view?usp=drive_link,Varachha,395009,
07/03/2025 13:21:45,Manan Dandekar-Citylight-Computer Basics & Scratch Programming,Computer Basics & Scratch Programming,Manan Dandekar,8882225563,06660044131,,9,NA,Housewife ,Citylight,"Tuesday, Thursday, Saturday",11:00 To 12:00,Mansi Mam,205,manandandekar1483@example.com,24/02/1997,07/03/2025,6660070274,,BBA,,https://drive.google.com/open?id=1D6AhTiiP_ArLXOzTIxfq1ElfnwW4kkae,Citylight,395006,
19/03/2025 9:23:02,Urvi Godbole-Vesu-Computer Basics,Computer Basics,Urvi Godbole,7770082876,,,11,Friends,Teacher,Vesu,All Days,12:00 To 01:00,Mansi mam,257,urvigodbole5431@example.com,17/04/2009,19/03/2025,,,Graduation ,https://drive.google.com/open?id=1Z_EnPNKGYIyaZCBbTNjRIv7XfRFcVLvx,https://drive.google.com/open?id=1b1jYnMeM34kLWVDrNU9xXMRIkVq-xR4d,Pal,395005,
21/03/2025 16:03:11,Krupa Velankar-Vesu-Core Java Programming,Core Java Programming,Krupa Velankar ,+919990086996,,,12,Old Enquiry,Job,Vesu,"Tuesday, Thursday, Saturday",07:00 To 08:00,Vansh Sir,260,,,20/03/2025,,,,,,Piplod,39500,
24/03/2025 19:48:17,Aarav Jamdar-Vesu-Advanced Graphic Designing (6 mths) (with zero module),Advanced Graphic Designing (6 mths) (with zero module),Aarav Jamdar,9991182813,9991110841,"C-595, Trial Towers, Umra",Na,google,Housewife ,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,Mansi mam,424,,,22/03/2025,6660018337,,Bcom,,,Bhatar,395009,
26/03/2025 11:45:52,Namra Yardi-Pal-Diploma in Front End Development (m-1),Diploma in Front End Development (m-1),Namra Yardi,6660023134,9991119595,"D-907, Specimen Skyline, Umra",10,,NA,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,vansh sir,427,,04/01/1994,25/03/2025,+8166600072424,,10th completed ,,https://drive.google.com/file/d/1-oPoUAkyIlvMCAnxSnmN8WmgeAJ8iqSE/view?usp=drivesdk,Adajan,395006,
05/04/2025 10:34:37,Khushi Dhond-NA-Python Programming,Python Programming,Khushi Dhond,09991116760,+155501001,,Diploma,Relatives ,Job,NA,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",06:00 To 07:00,Yash k,262,khushidhond9412@example.com,09/09/2013,05/04/2025,6660033568,,10th completed ,https://drive.google.com/open?id=1fIXYCZqahfkImDnRd0a2rHD-ECmeS3MI,https://drive.google.com/file/d/1wgl3Vqvt9k4WDMrZ_WUFV4og4M8n5WlR/view?usp=drive_link,Palanpur,395006,
09/04/2025 9:40:46,Isha Khaparde-vesu-Graphic Designing,Graphic Designing,Isha Khaparde,6660081069,7770068415,"F-817, Specimen Skyline, Citylight",9th std,Family,Student ,vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",05:00 To 06:00,vansh sir,429,ishakhaparde8885@example.com,,09/04/2025,8882286422,,10th completed ,https://drive.google.com/open?id=1fCokKHFCLuruI1e_WM2FNB0xJVnaaRHn,https://drive.google.com/open?id=1i3H2xKTHs56kA3krB0dE_tNHROqWfFjQ,Rander,395006,
12/04/2025 15:46:24,Sachi Paranjape-Vesu-10th std school course (m-1),10th std school course (m-1),Sachi Paranjape ,7770061170,08882222077,,Graduation ,Banner,Business / Job,Vesu,All Days,06:00 To 07:00,Mansi mam,264,sachiparanjape7654@example.com,25/12/1985,12/04/2025,,,8th std,,https://drive.google.com/file/d/1dM4ArAKWgW_mbutyCXvbaGhFw7m-6pG0/view?usp=drivesdk,Katargam,394510,
15/04/2025 20:56:40,Devansh Chaphekar-Pal-Core Java Programming,Core Java Programming,Devansh Chaphekar,9990010550,06660034903,"A-473, Sandbox Sadan, Piplod",12,Relatives ,student,Pal,"Monday, Wednesday, Friday",02:00 To 03:00,Siddharth sir,430,,06/03/1994,14/04/2025,,,Bcom,,https://drive.google.com/file/d/1C1Qy1Rb8T39hIbZJthaH9JK3BooGFOb9/view?usp=drivesdk,Vesu,395001,
15/04/2025 13:29:16,Tirth Tembe-Pal-Scratch Programming,Scratch Programming,Tirth Tembe,7770030231,9991161252,"F-1068, Example Estate, Citylight",12,NA,Other ,Pal,All Days,01:00 To 02:00,Mansi Mam,0432,,,15/04/0025,9990036531,,,,,Varachha,395005,
16/04/2025 9:37:57,Yashvi Lele-Pal-COMBO COURSE (COMPUTER BASICS & ADVANCED EXCEL WITH POWER BI),COMBO COURSE (COMPUTER BASICS & ADVANCED EXCEL WITH POWER BI),Lele Yashvi,8882278874,,,12,Social media,Job,Pal,"Tuesday, Thursday, Saturday",04:00 To 05:00,Vansh sir,433,yashvilele4117@example.com,24/01/0085,16/04/2025,,,,https://drive.google.com/file/d/1WSf4gfJoi3EclW_vBWdbbWzc1X-zFJNS/view?usp=drive_link,https://drive.google.com/open?id=13-rm8C56flFjRh4ymyhUOLn3T5UqKsij,Udhna,395006,
17/04/2025 19:30:13,Pooja Inamdar-Vesu-C & C++,C & C++,Pooja Inamdar ,7770076925,7770018090,"C-1028, Notional Nivas, Udhna",12th,Walkin,Teacher,Vesu,"Tuesday, Thursday, Saturday",10:00 To 11:00,Mansi mam,265,,12/06/1993,17/04/2025,,,BBA,https://drive.google.com/file/d/1H3A5ZJwcD97OWzqN9hDsGu0NZbsq8J5a/view?usp=drive_link,https://drive.google.com/open?id=1Q_jDfWq02KXWSIxYzcGeHwJM3UmmCS2b,Rander,395001,
21/04/2025 10:24:05,Dhruv Tembe-Vesu-Advanced Certificate in Python Development & Generative AI,Advanced Certificate in Python Development & Generative AI,Dhruv Tembe,88800786648,9990083028,"E-353, Mocklight Apartments, Parle point",Graduate,Old Enquiry,Business,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",02:00 To 03:00,Siddharth sir,266,,,19/04/2025,,,Bcom,https://drive.google.com/file/d/1-iQ7ertnun_csaA0nfad1eCIAKjyUQMS/view?usp=drivesdk,https://drive.google.com/file/d/1msgO4Jk6o6I5HQQ37kXztQcoWFPbj7OE/view?usp=drive_link,Pal,305007,
27/04/2025 18:26:12,Subin-Vesu-Advance Excel (Module 2),Advance Excel (Module 2),Subin,7770047704,9991139116,,10th completed,Old students,Business / Job,Vesu,"Tuesday, Thursday, Saturday",10:00 To 11:00,Siddharth sir,268,vanshganvir981@example com,26/09/1979,27/04/2025,9991171066,,Graduation ,,,Jahangirpura,395017,
16/05/2025 15:15:48,Vihaan Wagle-Vesu-Business Analytics,Business Analytics,Vihaan Wagle,6660005778,+918882214364,,Graduation ,Friend ,Other ,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",06:00 To 07:00,Yash sir,270,vihaanwagle6142@example.com,,16/05/2025,,,BBA,,https://drive.google.com/open?id=1QguTm90aCPpaldngDMz8ZHPE29qOQO_E,Varachha,0194520,
22/05/2025 9:44:50,Pooja Tembe-Pal-Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course (Computer Basics & Advanced Excel with Power BI),Pooja Tembe,8880064824,6660055259,"B-163, Demo Enclave, Althan",9th std,Old student ,Student ,Pal,"Monday, Wednesday, Friday",02:00 To 03:00,vansh sir,434-1,poojatembe6868@example.com,,20/05/2025,,,,,,,395006,
21/05/2025 16:00:21,Rudra Ahluwalia-Pal-Full Stack Development,Full Stack Development,Rudra Ahluwalia,8880085013,,"C-1151, Testvan Residency, Palanpur",B.C.A,Banner,Business,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",02:00 To 03:00,SUBIN SIR,435,rudraahluwalia8990@example.com,24/05/1980,21/05/2025,,,10th completed ,https://drive.google.com/file/d/1i_oIcYgilgUcEMKXL9vp41oNzhemDdR7/view?usp=drivesdk,https://drive.google.com/file/d/1sSbwkDYUoXdwXfJfGeM2cYMVH75OL1az/view?usp=drivesdk,Piplod,395007,
25/05/2025 17:57:02,Priya Kelkar-Citylight-12th Computer Science (module 2 & 3),12th Computer Science (module 2 & 3),Priya Kelkar,6660097814,9990050028,"D-619, Proxy Paradise, Rander",10th completed,old student,,Citylight,All Days,02:00 To 03:00,Mansi Mam,no number,priyakelkar545@example.com,,25/05/2025,,,,,https://drive.google.com/file/d/1cfFVRotWDRmiFRM7oRvfDJe4bArIN9c_/view?usp=drive_link,Citylight,305007,
29/05/2025 10:46:12,Shaurya Ubhaykar-Vesu-UI & UX development,UI & UX development,Shaurya Ubhaykar,9990019103,,"B-1157, Demo Enclave, Jahangirpura",MBA,Old Enquiry,Student,Vesu,All Days,05:00 To 06:00,Siddharth Sir,271,,19/05/2004,29/05/2025,,,10th completed ,,,Citylight,0194520,
30/05/2025 19:30:16,Nidhi Oak-Citylight-11th IP module 2,11th IP module 2,Oak Nidhi,9991158876,,"E-417, Specimen Skyline, New citylight",NA,Walk in,Business,Citylight,All Days,01:00 To 02:00,Trusha Mam,208,nidhioak5966@example.com,,30/05/2025,7770070000,,BBA,,https://drive.google.com/open?id=1wMrUCBo2ZZxtqH-qdU3BjBa8tHLnh2CF,Althan,394510,
01/06/2025 11:45:40,Vansh Mhatre-Vesu-FULL STACK DEVELOPMENT,FULL STACK DEVELOPMENT,Vansh Mhatre,9991154120,666007145,"C-661, Sandbox Sadan, Umra",B.C.A,Banner,Student ,Vesu,"Tuesday, Thursday, Saturday",05:00 To 06:00,Yash Sir,272,vanshmhatre4396@example.com,12/11/2001,01/06/2025,8882269881,,10th completed ,,,New citylight,395005,
04/06/2025 20:12:47,Garv Dandekar-Citylight-Advanced Graphic Designing (6 mths),Advanced Graphic Designing (6 mths),Garv Dandekar,8882261762,,"E-825, Trial Towers, Rander",NA,Walkin,Job,Citylight,"Tuesday, Thursday, Saturday",07:00 To 08:00,Siddharth sir,209,garvdandekar2806@example.com,,04/06/2025,,,BBA,https://drive.google.com/file/d/1MLeSIs178Tfnt2TzjX5u2HF4qm4ZGFAp/view?usp=drive_link,https://drive.google.com/file/d/1qMZeAkGoznPuGUOzcnrBXPXvQEDwi1Ye/view?usp=drive_link,,395017,
14/06/2025 19:29:58,Tanish Karnik-Citylight-Computer Basics & Scratch Programming,Computer Basics & Scratch Programming,Tanish Karnik,666001790,6660068055,"F-167, Sandbox Sadan, Citylight",BBA,Internet ,Housewife ,Citylight,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday","02:00 To 03:00, 03:00 To 04:00",SUBIN SIR,212,,10/12/2016,14/06/2025,8882234871,,BBA,,,Pandesara,395017,
15/06/2025 11:52:47,Priya Chaphekar-Pal-ADVANCED EXCEL (M-1 & M-2),ADVANCED EXCEL (M-1 & M-2),Priya Chaphekar,7770025696,8880056776,"F-1009, Notional Nivas, Citylight",10th completed,NA,Other ,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",07:00 To 08:00,vansh sir,438,,01/11/1999,15/06/2025,,,BBA,,https://drive.google.com/open?id=1vX7BhjmgNiMh3ypM2pAPZIlNMa87QdLT,Parle point,,
